Date,Price
31-05-2018,88088.3
29-06-2018,85674.6
31-07-2018,83740.4
31-08-2018,85285.3
28-09-2018,86063.7
31-10-2018,89839.5
30-11-2018,84857.1
31-12-2018,89293.4
31-01-2019,94109.5
28-02-2019,93826.2
29-03-2019,89738.8
30-04-2019,89188.8
31-05-2019,90288.5
28-06-2019,97259.7
31-07-2019,98194
30-08-2019,109139.2
30-09-2019,105261.4
31-10-2019,107169.8
29-11-2019,104747.5
31-12-2019,108120
31-01-2020,113044.6
28-02-2020,116178.9
31-03-2020,121719.1
30-04-2020,127868
29-05-2020,130717.8
30-06-2020,133498.2
31-07-2020,146999.1
31-08-2020,144075.6
30-09-2020,139215.5
30-10-2020,139459.2
30-11-2020,130527.8
31-12-2020,137922.2
29-01-2021,135982.9
26-02-2021,128073.3
31-03-2021,123639
30-04-2021,130934.3
31-05-2021,137979.1
30-06-2021,131054.9
30-07-2021,135863.2
