Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
27-01-2015,INFY,EQ,2215.05,2221,2221,2130.1,2137.55,2136.5,2146.45,3434992,7.37302E+14,117167,2765575,0.8051
28-01-2015,INFY,EQ,2136.5,2150,2154.8,2130.3,2144.45,2144.55,2144.31,3283589,7.04104E+14,99134,2313485,0.7046
29-01-2015,INFY,EQ,2144.55,2145,2149.9,2127.6,2147.8,2145.5,2141.67,3842356,8.22908E+14,79209,2797911,0.7282
30-01-2015,INFY,EQ,2145.5,2161.5,2162.55,2126.95,2141.85,2141.9,2144.44,2708436,5.80807E+14,99180,2093132,0.7728
02-02-2015,INFY,EQ,2141.9,2141.5,2152,2126.05,2137,2136.85,2142.8,2175635,4.66196E+14,47871,1641719,0.7546
03-02-2015,INFY,EQ,2136.85,2136.85,2139.95,2102,2124,2120.9,2117.92,1316489,2.78822E+14,64490,821456,0.624
04-02-2015,INFY,EQ,2120.9,2139.9,2150,2126.4,2143.8,2142.85,2142.92,1290004,2.76438E+14,49317,889211,0.6893
05-02-2015,INFY,EQ,2142.85,2150.8,2220,2148,2186,2193.8,2189.61,2968984,6.50091E+14,112707,2025011,0.6821
06-02-2015,INFY,EQ,2193.8,2205,2247.8,2188.5,2228,2230.5,2229.51,1863432,4.15453E+14,79072,1073921,0.5763
09-02-2015,INFY,EQ,2230.5,2200,2254,2200,2245,2248.9,2238.75,1634217,3.6586E+14,96994,1074815,0.6577
10-02-2015,INFY,EQ,2248.9,2243,2298,2241,2268,2278.3,2270.89,2129230,4.83524E+14,84805,1385146,0.6505
11-02-2015,INFY,EQ,2278.3,2280.5,2293.2,2256.25,2287.8,2284.85,2279.82,1449243,3.30401E+14,58510,962023,0.6638
12-02-2015,INFY,EQ,2284.85,2283,2321.95,2273,2309.9,2311.2,2301.63,1571884,3.6179E+14,66827,995751,0.6335
13-02-2015,INFY,EQ,2311.2,2299.6,2326.7,2286,2294,2296.1,2303.89,1414379,3.25857E+14,46058,952136,0.6732
16-02-2015,INFY,EQ,2296.1,2280.3,2306.9,2265.25,2282,2278.75,2282.89,1561069,3.56375E+14,90275,1066397,0.6831
18-02-2015,INFY,EQ,2278.75,2290.55,2304.95,2258.15,2292.05,2296.5,2282.33,2153441,4.91486E+14,64543,1705768,0.7921
19-02-2015,INFY,EQ,2296.5,2294,2334,2292.05,2323.2,2324.7,2322.17,2418406,5.61594E+14,61974,1750981,0.724
20-02-2015,INFY,EQ,2324.7,2328.5,2336,2276.9,2280.5,2283.1,2298.14,1742907,4.00544E+14,70405,1271861,0.7297
23-02-2015,INFY,EQ,2283.1,2300,2309.2,2248.1,2265,2265.6,2285.41,1272622,2.90846E+14,76169,871774,0.685
24-02-2015,INFY,EQ,2265.6,2279,2295.95,2257.6,2270.2,2272.8,2281.14,1609419,3.67131E+14,65245,999155,0.6208
25-02-2015,INFY,EQ,2272.8,2288.9,2334.8,2280,2314,2317.6,2316.82,1511243,3.50128E+14,60669,913751,0.6046
26-02-2015,INFY,EQ,2317.6,2307.5,2309,2245.4,2259.65,2258.1,2271.59,1611444,3.66054E+14,80377,993005,0.6162
27-02-2015,INFY,EQ,2258.1,2274.9,2280.65,2251.5,2268.7,2265.75,2268.66,1950269,4.42449E+14,74540,1341127,0.6877
28-02-2015,INFY,EQ,2265.75,2274.75,2307.9,2256.2,2298,2296.45,2281.05,799334,1.82332E+14,35786,305895,0.3827
02-03-2015,INFY,EQ,2296.45,2303,2308.5,2278.05,2287.5,2291.7,2290.03,1760248,4.03102E+14,88257,1243988,0.7067
03-03-2015,INFY,EQ,2291.7,2290,2302.95,2278.3,2298,2297.85,2293.39,1226388,2.81259E+14,63082,830415,0.6771
04-03-2015,INFY,EQ,2297.85,2300,2313.9,2251.9,2275,2274.65,2286.19,1093807,2.50065E+14,54424,662741,0.6059
05-03-2015,INFY,EQ,2274.65,2267.05,2298.75,2233.35,2249,2247.6,2257.52,1421229,3.20846E+14,52033,958567,0.6745
09-03-2015,INFY,EQ,2247.6,2259,2259,2179,2188,2190.05,2201.32,1996180,4.39423E+14,88526,1390422,0.6965
10-03-2015,INFY,EQ,2190.05,2198.1,2206.95,2160.2,2200,2198,2197.19,1582479,3.477E+14,84918,1117333,0.7061
11-03-2015,INFY,EQ,2198,2194.1,2240,2169.1,2179.9,2182.2,2206.92,1695228,3.74123E+14,78278,1042916,0.6152
12-03-2015,INFY,EQ,2182.2,2179,2226.45,2177,2215.05,2218.3,2209.4,1422141,3.14207E+14,53839,984067,0.692
13-03-2015,INFY,EQ,2218.3,2225,2230,2192.4,2220,2220.4,2213.76,1544921,3.42009E+14,70363,1004099,0.6499
16-03-2015,INFY,EQ,2220.4,2210.55,2282,2210.55,2261,2266.65,2256.43,1704658,3.84644E+14,72855,1183185,0.6941
17-03-2015,INFY,EQ,2266.65,2266.65,2279.5,2217.25,2245,2240.5,2244.71,1384828,3.10854E+14,61599,821180,0.593
18-03-2015,INFY,EQ,2240.5,2254.5,2262.85,2222.55,2233,2229.5,2238.36,1226391,2.7451E+14,58126,802850,0.6546
19-03-2015,INFY,EQ,2229.5,2234.6,2249,2222.75,2230.65,2230.45,2231.73,1722935,3.84513E+14,72890,1116497,0.648
20-03-2015,INFY,EQ,2230.45,2241,2268.9,2232.95,2263.55,2257.45,2255.17,1607724,3.6257E+14,61559,1119622,0.6964
23-03-2015,INFY,EQ,2257.45,2253,2275,2225.5,2236,2233.45,2244.84,1269675,2.85022E+14,67428,881631,0.6944
